"Time Created","Screen Name","Follower Count","Full Text","Location","Hashtags","Mentions","Platform"
"Fri Mar 31 19:54:59 +0000 2017","thunderbow98","6551","If you only realized the POWAH of the #RussianHacking","","['RussianHacking']","[]","Mobile Web"
"Fri Mar 31 19:55:23 +0000 2017","Solutioneer72","8587","RT @Solutioneer72: Treason. Racketeering. $Corruption$. Election theft. Murder. GOP...

#trumprussia #russiagate #russianhacking…","Chicago, IL, USA","['trumprussia', 'russiagate', 'russianhacking']","[u'Raj Balasubramanian']","Android"
"Fri Mar 31 19:55:38 +0000 2017","pj1414","1937","Is the J in Donald J Trump for Judas?  
#russiagate #MikeFlynn #russianhacking @cnn @MSNBC","","['russiagate', 'MikeFlynn', 'russianhacking']","[u'CNN', u'MSNBC']","iPad"
"Fri Mar 31 19:55:53 +0000 2017","thunderbow98","6551","This tweet is going to go in Bob's JSON file heheheheh #RussianHacking","","['RussianHacking']","[]","Mobile Web"
"Sat Apr 01 17:33:02 +0000 2017","Zzzenout","15","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","iPad"
"Sat Apr 01 17:33:21 +0000 2017","AlinaKatchi","355","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","London / Los Angeles","['RussianHacking']","[u'Jim McGovern']","iPad"
"Sat Apr 01 17:33:21 +0000 2017","AzVisigoth","921","RT @HarlanPeggy: #russiagate #russianhacking ALL LIES #LiftSanctions @POTUS what do u think @DonaldJTrumpJr LETS PISS ON SOME LIES T…","Flagstaff, AZ","['russiagate', 'russianhacking', 'LiftSanctions']","[u'Peggy Harlan', u'President Trump', u'Donald Trump Jr.']","Twitter Web Client"
"Sat Apr 01 17:33:36 +0000 2017","Sandbagger_one","219","RT @ThePeoplesCube: Democrats' current truth: We have always been at war with the Motherland https://t.co/ylxrgIsfvC
#RussianCollusion…","Nowhere in particular","['RussianCollusion']","[u""The People's Cube""]","Twitter Web Client"
"Sat Apr 01 17:33:43 +0000 2017","oobed","553","RT @ThePeoplesCube: Democrats' current truth: We have always been at war with the Motherland https://t.co/ylxrgIsfvC
#RussianCollusion…","","['RussianCollusion']","[u""The People's Cube""]","Twitter Web Client"
"Sat Apr 01 17:35:03 +0000 2017","spotswoode","260","RT @ThePeoplesCube: Democrats' current truth: We have always been at war with the Motherland https://t.co/ylxrgIsfvC
#RussianCollusion…","","['RussianCollusion']","[u""The People's Cube""]","Twitter Web Client"
"Sat Apr 01 17:35:35 +0000 2017","dantelives13","325","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","iPhone"
"Sat Apr 01 17:35:40 +0000 2017","peenyweeny1218","604","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","Southern California","['RussianHacking']","[u'Jim McGovern']","Android"
"Sat Apr 01 17:35:54 +0000 2017","MrDanielavery","820","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","Brooklyn, NY","['RussianHacking']","[u'Jim McGovern']","TweetDeck"
"Sat Apr 01 17:35:57 +0000 2017","SwankyFrankies","132","RT @ThePeoplesCube: Democrats' current truth: We have always been at war with the Motherland https://t.co/ylxrgIsfvC
#RussianCollusion…","","['RussianCollusion']","[u""The People's Cube""]","iPhone"
"Sat Apr 01 17:36:02 +0000 2017","uncle_t0by","20","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","Android"
"Sat Apr 01 17:36:07 +0000 2017","watchyourReps","694","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","United States","['RussianHacking']","[u'Jim McGovern']","Twitter Web Client"
"Sat Apr 01 17:36:27 +0000 2017","Vickigr81567276","526","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","iPhone"
"Sat Apr 01 17:36:36 +0000 2017","MrsProudie","333","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","Twitter Web Client"
"Sat Apr 01 17:36:36 +0000 2017","ms_sharims","526","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","Twitter Web Client"
"Sat Apr 01 17:37:06 +0000 2017","rollzroix","829","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","Somerville, MA","['RussianHacking']","[u'Jim McGovern']","iPhone"
"Sat Apr 01 17:37:25 +0000 2017","oncaffeine","572","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","SF transplant in Massachusetts","['RussianHacking']","[u'Jim McGovern']","iPhone"
"Sat Apr 01 17:37:28 +0000 2017","angry_gram","312","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","iPhone"
"Sat Apr 01 17:37:50 +0000 2017","riker1191","381","It's becoming quite obvious that Trump was involved in Criminal Activity with Russia during the Election and has to… https://t.co/eEt0PIG1Sd","","[]","[]","Android"
"Sat Apr 01 17:39:50 +0000 2017","sparkychick3233","2159","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","Philadelphia, PA","['RussianHacking']","[u'Jim McGovern']","iPhone"
"Sat Apr 01 17:40:17 +0000 2017","shout_za","108","RT @gvyshnya: What Was the Relationship Between #FSB and #GRU in the DNC #Hack, Redux? https://t.co/ra4uSbv6cH #cybersecurity #RussianHacki…","Wandering","['FSB', 'GRU', 'Hack', 'cybersecurity']","[u'George Vyshnya']","Android"
"Sat Apr 01 17:40:33 +0000 2017","Kris_With_A_Que","11","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","Android"
"Sat Apr 01 17:40:40 +0000 2017","papabearnc","1291","RT @Missy4Trump: The only hacking I saw during the election..... 😄
#russianhacking 
#russiagate https://t.co/2XZ9wPDmXR","Southern USA","['russianhacking', 'russiagate']","[u'Missy4TRiUMPh\U0001f1fa\U0001f1f8']","iPhone"
"Sat Apr 01 17:41:17 +0000 2017","3000000votes","5","This should've been a 24/7 emergency from day one. Pause White House now. #TrumpRussia #RussiaGate #FollowTheFacts… https://t.co/vfPyvGxelx","","['TrumpRussia', 'RussiaGate', 'FollowTheFacts']","[]","Twitter Web Client"
"Sat Apr 01 17:41:37 +0000 2017","surse","741","RT @ThePeoplesCube: Democrats' current truth: We have always been at war with the Motherland https://t.co/ylxrgIsfvC
#RussianCollusion…","","['RussianCollusion']","[u""The People's Cube""]","iPhone"
"Sat Apr 01 17:43:50 +0000 2017","frbaisden","22","RT @RepSwalwell: Our #RussianHacking investigation must be independent, credible, &amp; make progress. Nunes must step aside &amp; ind. comm…","Massillon, OH","['RussianHacking']","[u'Rep. Eric Swalwell']","Mobile Web"
"Sat Apr 01 17:43:51 +0000 2017","chrismiles590","551","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","Android"
"Sat Apr 01 17:43:56 +0000 2017","HAGOODMANAUTHOR","22590","RT @ZULU401: @wikileaks #wikileaks https://t.co/Z5dPDEcXud","https://counterpropa.com/","['wikileaks']","[u'Socially Dull', u'WikiLeaks']","Twitter Web Client"
"Sat Apr 01 17:44:11 +0000 2017","MinglewoodBlu","183","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","earth","['RussianHacking']","[u'Jim McGovern']","Twitter Web Client"
"Sat Apr 01 17:44:13 +0000 2017","A40227587","149","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","United States","['RussianHacking']","[u'Jim McGovern']","iPad"
"Sat Apr 01 17:44:15 +0000 2017","HarlanPeggy","2026","#Russiagate #russianhacking all lies #LiftSanctions #MAGA #RESIST 🇺🇸🇷🇺🇺🇸 https://t.co/Pz23AkxX27","United States","['Russiagate', 'russianhacking', 'LiftSanctions', 'MAGA', 'RESIST']","[]","iPhone"
"Sat Apr 01 17:44:27 +0000 2017","DHayesstoker","197","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","United States","['RussianHacking']","[u'Jim McGovern']","iPhone"
"Sat Apr 01 17:44:36 +0000 2017","HarlanPeggy","2026","RT @HarlanPeggy: #russiagate #russianhacking ALL LIES #LiftSanctions @POTUS what do u think @DonaldJTrumpJr LETS PISS ON SOME LIES T…","United States","['russiagate', 'russianhacking', 'LiftSanctions']","[u'Peggy Harlan', u'President Trump', u'Donald Trump Jr.']","iPhone"
"Sat Apr 01 17:45:32 +0000 2017","MMsharbono","681","RT @Missy4Trump: The only hacking I saw during the election..... 😄
#russianhacking 
#russiagate https://t.co/2XZ9wPDmXR","","['russianhacking', 'russiagate']","[u'Missy4TRiUMPh\U0001f1fa\U0001f1f8']","Android"
"Sat Apr 01 17:45:51 +0000 2017","Calijewles","1168","RT @HAGOODMANAUTHOR: DNC TECH FIRM NO LONGER PUSHING SAME #russianhacking NARRATIVE https://t.co/mUUgqyV4by #TrumpRussiaCollusion #Trumprus…","California, USA","['russianhacking', 'TrumpRussiaCollusion']","[u'H. A. Goodman']","Android"
"Sat Apr 01 17:45:56 +0000 2017","bahamamama21","115","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","Sokol Casa","['RussianHacking']","[u'Jim McGovern']","iPhone"
"Sat Apr 01 17:46:05 +0000 2017","HAGOODMANAUTHOR","22590","And... nobody listened to @HAGOODMANAUTHOR when I warned you Trump would beat Clinton and turn the tables on… https://t.co/f1ETQFSM4o","https://counterpropa.com/","[]","[u'H. A. Goodman']","Twitter Web Client"
"Sat Apr 01 17:47:34 +0000 2017","ErikH526","1200","RT @HAGOODMANAUTHOR: And... nobody listened to @HAGOODMANAUTHOR when I warned you Trump would beat Clinton and turn the tables on…","Hyrule","[]","[u'H. A. Goodman', u'H. A. Goodman']","Android"
"Sat Apr 01 17:48:13 +0000 2017","xavvypls","2592","HAGOODMANAUTHOR: RT ZULU401: wikileaks #wikileaks https://t.co/6mw4Aoljfa","North Carolina","['wikileaks']","[]","ifttt"
"Sat Apr 01 17:48:40 +0000 2017","JRKiefer1","1250","RT @HAGOODMANAUTHOR: And... nobody listened to @HAGOODMANAUTHOR when I warned you Trump would beat Clinton and turn the tables on…","Ashland Oregon","[]","[u'H. A. Goodman', u'H. A. Goodman']","Twitter Web Client"
"Sat Apr 01 17:48:51 +0000 2017","BuenaVista28","1514","RT @HAGOODMANAUTHOR: And... nobody listened to @HAGOODMANAUTHOR when I warned you Trump would beat Clinton and turn the tables on…","Disneyland","[]","[u'H. A. Goodman', u'H. A. Goodman']","iPad"
"Sat Apr 01 17:49:30 +0000 2017","ARealPrincesa","1269","RT @HAGOODMANAUTHOR: And... nobody listened to @HAGOODMANAUTHOR when I warned you Trump would beat Clinton and turn the tables on…","New York, USA","[]","[u'H. A. Goodman', u'H. A. Goodman']","iPhone"
"Sat Apr 01 17:49:33 +0000 2017","SaintGoar","1214","RT @HAGOODMANAUTHOR: And... nobody listened to @HAGOODMANAUTHOR when I warned you Trump would beat Clinton and turn the tables on…","","[]","[u'H. A. Goodman', u'H. A. Goodman']","TweetDeck"
"Sat Apr 01 17:49:34 +0000 2017","Laura_B_Liberal","488","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","iPhone"
"Sat Apr 01 17:50:39 +0000 2017","ErikH526","1200","RT @ZULU401: @wikileaks #wikileaks https://t.co/Z5dPDEcXud","Hyrule","['wikileaks']","[u'Socially Dull', u'WikiLeaks']","Android"
"Sat Apr 01 17:52:49 +0000 2017","BanRomulanbirds","731","RT @ThePeoplesCube: Democrats' current truth: We have always been at war with the Motherland https://t.co/ylxrgIsfvC
#RussianCollusion…","Kaleefornia","['RussianCollusion']","[u""The People's Cube""]","Mobile Web"
"Sat Apr 01 17:52:49 +0000 2017","sheilalynntx","30","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","Twitter Web Client"
"Sat Apr 01 17:53:19 +0000 2017","BBfromPA","1300","RT @HAGOODMANAUTHOR: And... nobody listened to @HAGOODMANAUTHOR when I warned you Trump would beat Clinton and turn the tables on…","NOYB","[]","[u'H. A. Goodman', u'H. A. Goodman']","Android"
"Sat Apr 01 17:53:37 +0000 2017","MaryGTempe","154","RT @MaryGTempe: @GovMikeHuckabee HOW YOU LIKE PREZ TRUMPS NEW STYLE?? #TRUMPSHAIR #YOUWISH #fakenewsday I LIKE ORIG. STYLE!! #MAGA…","","['TRUMPSHAIR', 'YOUWISH', 'fakenewsday', 'MAGA']","[u'Mary Pat', u'Gov. Mike Huckabee']","Android"
"Sat Apr 01 17:54:34 +0000 2017","msm868","369","RT @HAGOODMANAUTHOR: DNC TECH FIRM NO LONGER PUSHING SAME #russianhacking NARRATIVE https://t.co/mUUgqyV4by #TrumpRussiaCollusion #Trumprus…","California","['russianhacking', 'TrumpRussiaCollusion']","[u'H. A. Goodman']","iPhone"
"Sat Apr 01 17:54:36 +0000 2017","msm868","369","RT @HAGOODMANAUTHOR: DNC TECH FIRM NO LONGER PUSHING SAME #russianhacking NARRATIVE https://t.co/mUUgqyV4by #TrumpRussiaCollusion #Trumprus…","California","['russianhacking', 'TrumpRussiaCollusion']","[u'H. A. Goodman']","iPhone"
"Sat Apr 01 17:55:13 +0000 2017","nycmidtown","221","#Russia #russiagate #RussiaInvestigation #RussiaHearing #RussiaHacking 
#Flynn #russianhacking #Immunity… https://t.co/ZK9bIo4XlN","United States of America","['Russia', 'russiagate', 'RussiaInvestigation', 'RussiaHearing', 'RussiaHacking', 'Flynn', 'russianhacking', 'Immunity']","[]","Twitter Web Client"
"Sat Apr 01 17:55:44 +0000 2017","MarkSKrikorian","12947","RT @ThePeoplesCube: Democrats' current truth: We have always been at war with the Motherland https://t.co/ylxrgIsfvC
#RussianCollusion…","Washington, DC","['RussianCollusion']","[u""The People's Cube""]","Twitter Web Client"
"Sat Apr 01 17:56:43 +0000 2017","combatcameravet","208","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","iPhone"
"Sat Apr 01 17:57:16 +0000 2017","Raizakolia","1101","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","The Universe","['RussianHacking']","[u'Jim McGovern']","iPhone"
